STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Métro Lasalle (de Rushbrooke / Caisse),Verdun,45.4707265982564,-73.5654690489901,Augustin-Cantin / Shearer,Le Sud-Ouest,45.4839016954336,-73.5636323690414,1745237905878,1745238384356
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,45.5009410158851,-73.6256369948387,McLynn / Plamondon,Côte-des-Neiges - Notre-Dame-de-Grâce,45.4891130876635,-73.6470128595829,1745239566884,1745240247995
Place Valois (Valois / Ontario),Mercier - Hochelaga-Maisonneuve,45.5470175008423,-73.543126247896,Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,45.5442904853743,-73.5452324151993,1745229792461,1745229917233
Cartier / Dandurand,Rosemont - La Petite-Patrie,45.5392355905587,-73.5859456658363,Masson / Molson,Rosemont - La Petite-Patrie,45.5443459324525,-73.5769768618047,1745243930217,1745244342204
Place Valois (Valois / Ontario),Mercier - Hochelaga-Maisonneuve,45.5470175008423,-73.543126247896,St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.5295246656531,-73.604888767004,1745255645550,1745257588857
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,45.5364343386303,-73.6078342797555,Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,45.5318053622049,-73.5975547786984,1745250959615,1745251302677
University / Milton,Le Plateau-Mont-Royal,45.5065386376248,-73.5766088962555,Crescent / de Maisonneuve,Ville-Marie,45.4981204124733,-73.577595949173,1745245657995,1745246139305
Roy / Saint-Laurent,Le Plateau-Mont-Royal,45.5156518219509,-73.575773900393,University / Milton,Le Plateau-Mont-Royal,45.5065386376248,-73.5766088962555,1745246287454,1745246780816
Stanley / Sherbrooke,Ville-Marie,45.5010573232146,-73.5772263408035,St-Nicolas / Place d'Youville,Ville-Marie,45.5019869442258,-73.5551664885315,1745250038623,1745251022970
Laval / Rachel,Le Plateau-Mont-Royal,45.5202244955838,-73.5795271396637,Édouard-Montpetit / de Stirling,Côte-des-Neiges - Notre-Dame-de-Grâce,45.5073788871187,-73.6148598790169,1745236814450,1745238108305
Milton / Durocher,Le Plateau-Mont-Royal,45.5081409594177,-73.5749298334122,Peel / Ottawa,Le Sud-Ouest,45.4941995535705,-73.5599845647812,1745227387314,1745228102581
15e avenue / Laurier,Rosemont - La Petite-Patrie,45.5533199280052,-73.5693280398846,Métro Joliette  (Hochelaga / Joliette),Mercier - Hochelaga-Maisonneuve,45.5469919465328,-73.5511533915996,1745237623641,1745237921611
